wallet,credit_score,total_transactions,total_usd_volume,repay_to_borrow_ratio,liquidation_count
0x037bef2da33513cfb998e36894d073773d3285f8,770.0886340877263,92,13330463.039832406,0.9,0
0x05b95e058f04185f3aa8c47f025c2ce00a50ad6e,770.0719101561789,65,47.88122612587381,1.0,0
0x046b8f645b2a09f9527f191fbcb6491094668a45,770.0518995443449,86,372294.0153247165,1.0,0
0x052f348a45620f2c26926d2b58548c7eaeadf870,770.042336356308,166,419712.70752596995,0.8125,0
0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,770.0118783233214,116,548214.4670777407,1.5,0
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,770.0071482075882,167,60245300.45279838,3.380952380952381,0
0x00da65b9d6ea469301021381f9b16cf3e80fa8b1,770.0039652410195,270,12520804.167234033,0.9491525423728814,0
0x005661a7a441451fafdccd579905a7dbc79fd538,770.0038589540292,61,25.636004005421945,1.0,0
0x0224b2311d5968fa00a42103788b2f4ccd0651ad,769.999421875006,146,9861.718026191162,1.9333333333333333,0
0x05808c037e9f759096cf77a7f1f50a9f01dd5c56,769.9962122133171,102,30069.343869389922,1.0588235294117647,0
0x0041dac13d9365b4d695fb612950dc71884f8db1,769.9962122133171,154,9364.361932409032,1.6176470588235294,0
0x0073943c869d55da3b7c8ab40ee3c2a68b65fb33,769.9953720711896,63,244558.92915870814,1.2,0
0x0340af84322e83ae445c375c10a6ac90989b85f6,769.9942165228151,128,47563.055490495506,0.9615384615384616,0
0x045751c6c2dc89cb7d5976649eb63de2b2d77f5b,769.9925536173745,461,4625432.502185445,0.8316831683168316,0
0x005c7aa4001747cd4bf25c777318a13191a182ac,769.9846533347783,245,9654.871023873278,1.0,0
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,769.9846242791598,262,318057.3306649788,1.1521739130434783,0
0x032f904c1f675add398dcb3733acf36b84b79c95,769.9828522936459,108,656628.0893097535,0.8571428571428571,0
0x04e492d349e82cafdc314cc0d966592b6ee9df11,769.9826763015969,675,626493.5675526769,0.8142076502732241,0
0x03188444e0ec5e63d99350baedd479ebcab82f63,769.9826763015969,430,31524.233478691836,1.0379746835443038,0
0x0281817134298991d74fb31dcb3efa1e936a4c25,769.9825192988217,53,1227.0822592974557,1.1428571428571428,0
0x011c3a587254b7312d78f2c8ba5adc41a1ed1357,769.9819233555639,234,60314.96982658139,1.2,0
0x046ae0974283a9acf5cb4228a93d000c6d0ffd76,769.9819233555639,281,3387.307851518381,0.9516129032258065,0
0x0309146e7b8baefa23f193632ef74602768af954,769.9819233555639,329,32428.458768939578,0.9193548387096774,0
0x05404b6f8990a4108150366adb572a870b137edc,769.9819233555639,473,41480.7903681365,1.2033898305084745,0
0x05275affa4b235deacf99e490f3834273c15ea8b,769.980680611095,281,3135246.6948454827,1.1,0
0x047a96ef72d7ee6a3f193bdb92e998fb300265df,769.980680611095,820,1267466.0958736483,1.035,0
0x059949cb13386014e50039c5750b5f160b0d2778,769.980680611095,369,283292.5804169793,1.34,0
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,769.9791533345226,68,2813.788936084443,1.0,0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,769.976294840186,523,10123237.641123641,0.961038961038961,0
0x02c3b69b7588c4d117ea0eb4d7ba809f9613f470,769.9754705788099,216,6952.672956597054,1.0689655172413792,0
0x0607aa9076c72dab964a04dbf73ef9ba58206997,769.9754465070491,51,430124.83057169657,0.8181818181818182,0
0x038b15767ebe38fc2002b8c597ec9054021dcf7c,769.9734866602831,51,346144.1181074545,1.1666666666666667,0
0x013b81ad989b9009f4dab4c804c6007882f9a190,769.9734866602831,55,128830.34397509081,1.0,0
0x056a560537b780be6a4c35079cedb77822c58d82,769.9734541811256,103,13915.175657655347,1.0,0
0x049b8457a23bef5354c65d1cbbfa3bb897782ec1,769.9734541811256,165,72480.7001222562,0.8055555555555556,0
0x022b755d4b5db88a2c32499fa667904fbe24c928,769.9734541811256,100,46702.08136924783,1.1333333333333333,0
0x00f5481262d4845b292ba0c41752de258b3bbeec,769.9734541811256,83,319715.9160819715,0.9,0
0x02b936ff5f54ef91b7e9e6fcd8aaed1160ee01c2,769.9729819022788,148,1352054.4545942964,2.027027027027027,0
0x01222a114552e89e4c548170f8c1f4d5460d255a,769.9723311119086,284,529201.2350120977,0.8378378378378378,0
0x009b21f6f8273fe12dbc9c8025ca27db7de16b8c,769.9723311119086,187,3391.421433879643,0.8421052631578947,0
0x05aeaabd4b221dc741b0213dedc1c2fe3613e2c0,769.9723311119086,237,80880.28492557099,1.5862068965517242,0
0x04c18cbf703c72591f1800b52d801a948f55e00c,769.9723311119086,66,199103.3954375314,1.0,0
0x049569adb8a1e8a9349e9f1111c7b7993a4612eb,769.9723311119086,68,21543.132934675752,1.3571428571428572,0
0x02ad56758fef56099cf57531d0c97bb1aa1f076e,769.9723311119086,95,184123.70193169173,0.8333333333333334,0
0x02d77fc7307cd7ec962eda62d25936156a7a6492,769.9723311119086,78,5622.325433903394,0.8125,0
0x05279be7b95aadfd686d24fcf6740869c81b7532,769.9723311119086,98,26052.318441501488,0.9090909090909091,0
0x04fdac80b3ca0b9066bd275f176dc807e3908a8e,769.9723311119086,66,9371.90463449083,1.25,0
0x002de04d579930686698abab5f48bda0b24fb9fc,769.9723311119086,85,78597.4355768264,1.1538461538461537,0
0x0281531ebed0d369e29f29bb4295be46113e422b,769.9723311119086,105,2228434.4493699158,1.0555555555555556,0
0x00d29fbc981d05edba69bc0909e391a132271357,769.9711785293354,64,666664.7245154837,1.4285714285714286,0
0x047ea31614fc085ce7b80412fbab65fd51a8bb7a,769.9702809786829,298,355834.01600250794,1.1379310344827587,0
0x037bf6a1e7b137f824f46313317e033ffeceb613,769.9698635663798,172,270400.74494672054,1.4090909090909092,0
0x04d77f0bcc07515b0ba5d67bb812d6dcf1f1b2f6,769.9698635663798,51,1378.7615737611766,1.8571428571428572,0
0x02f11fe7a88805f3afbe76f28d0ee7b090d4e99b,769.9698635663798,130,972348.4274843286,1.0,0
0x0230d420819b2654845fb9c570ac53c969b6c386,769.9691008893742,57,120546.37250845139,0.8181818181818182,0
0x0094cb1657ee9da34b93845aa142eaa59169ee05,769.9690684102167,245,25038.485702312653,0.8823529411764706,0
0x0337cbd1a09ae0c4e7f802c0ce2cffe880ef49ba,769.9689833871015,56,9462.828882011148,0.875,0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,769.9679453409997,67,297629.2601243015,1.0,0
0x0255c9d3850caca1152aeb20425c264787661692,769.9679453409997,167,7012.661308776684,1.52,0
0x01b3b5ae37f70e6540abc2667fec68c19b2e7a1d,769.9679453409997,77,812546.5843548637,0.8421052631578947,0
0x00d3addc7cb1637c73359d41949a1a369d7f092a,769.965355462187,107,193414.87356918005,1.2105263157894737,0
0x0540003bbd356a49bc2e74a3f8f872dc318dc46b,769.9645965729437,91,630646.4361459278,0.9545454545454546,0
